year,name,capacity,weight,Ta,Tb,Tc,highways fuel economy,urban fuel economy
2012,BYD e6,61,5500,59.33,0.654,0.02366,98,88
2012,NISSAN NISSAN LEAF UPR,24,3750,33.78,0.0618,0.02282,132,154
2013,Azure Dynamics Transit Connect Electric,28,4250,33.83,0.1242,0.03132,88.6,88.4
2013,CODA CODA,31,4000,39.18,0.2549,0.0199,97,110.3
2013,Toyota SCION iQ EV,12,2750,15.993,0.56499,0.013095,164.44444444444446,216.37426900584794
2014,HONDA FIT EV,20,3625,19.06,0.407,0.01499,154.1,188.5
2014,Tesla Model S P85D,85,5250,41.91,0.1389,0.0185,129.37062937062936,129.37062937062936
2014,Toyota RAV4 EV,41.8,4250,32.246,0.27335,0.022058,114.90683229813664,118.21086261980831
2015,BYD e6,61,5500,60.763,0.662,0.01996,92.9,90.2
2015,Fiat 500e,22,3250,22.77,0.295,0.01519,154.5,174.9
2016,Bluecar Bluecar,30,3375,25.23,0.43462,0.02154,96.3,120.4
2016,BMW I3 BEV,18.8,3125,22.9,0.346,0.01626,159.1,196.4
2016,BYD e6,61,5500,69.473,0.0697,0.02814,104,111
2016,CHEVROLET SPARK EV,19,3125,21.96,0.1688,0.01806,156.3,183.5
2016,Fiat 500e,22,3250,24.91,0.2365,0.01816,147.8,172.9
2016,Ford FOCUS,23,3875,23.05,0.3647,0.01897,141.4,157.2
2016,Kia Soul electric,27,3625,22.8,0.3281,0.021832,144.53125,188.77551020408163
2016,Mercedes-Benz B-class electric drive,36,4250,31.7,0.177,0.019,117,121.9
2016,Mercedes-Benz smart fortwo electric drive (convertible),17.6,2375,32.869,-0.1639,0.028583,133.2,173.8
2016,MITSUBISHI i-MiEV,16,2875,19.484,0.43515,0.016133,141,180.5
2016,NISSAN NISSAN LEAF S,24,3625,29.97,0.0713,0.02206,144.2,180.4
2016,NISSAN NISSAN LEAF SL,30,3625,29.61,0.0738,0.02195,146.4,183.9
2016,NISSAN NISSAN LEAF SV,30,3750,29.92,0.076,0.02195,144.6,175.4
2016,Tesla Model S 60D,60,5000,37.37,0.1842,0.01508,183.16831683168317,175.35545023696682
2016,Tesla Model S 60R,60,5000,40.35,0.1324,0.01557,150.40650406504065,163.71681415929203
2016,Tesla Model S 70D,70,5000,36.23,0.1906,0.01746,149.79757085020245,146.82539682539684
2016,Tesla Model S 75D,75,5000,37.37,0.1842,0.01508,180.4878048780488,176.1904761904762
2016,Tesla Model S 75R,75,5000,40.35,0.1324,0.01557,172.09302325581396,167.420814479638
2016,Tesla Model S 85D,85,5000,36.23,0.1906,0.01746,154.16666666666666,139.09774436090225
2016,Tesla Model S 90D,90,5000,39.24,0.1493,0.01514,177.8846153846154,169.72477064220183
2016,Tesla Model S P100D,100,5250,41.35,0.267,0.0137,176.1904761904762,156.11814345991561
2016,Tesla Model S P85D,85,5250,41.91,0.0257,0.01961,145.09803921568627,133.0935251798561
2016,Tesla Model S P90D,90,5250,41.51,0.2226,0.01403,170.50691244239633,157.4468085106383
2016,Tesla Model X 60D,60,5500,37.68,0.0486,0.0214,163.71681415929203,159.48275862068965
2016,Tesla Model X 75D,75,5500,37.68,0.0486,0.0214,165.91928251121075,158.79828326180257
2016,Tesla Model X 90D,90,5500,37.68,0.0486,0.0214,158.79828326180257,153.52697095435684
2016,Tesla Model X P100D,100,6000,45.71,-0.0555,0.0216,156.11814345991561,139.09774436090225
2016,VOLKSWAGEN e-Golf,24.2,3625,39.36,0.5083,0.0125,149.7,179.2
2018,Ford FOCUS,33.5,4000,28.87,0.1906,0.01993,136.8,169.2
2018,HYUNDAI IONIQ,28,3500,21.17,0.19016,0.015762,201.08695652173915,246.66666666666666
2018,KIA Soul Electric,27,3625,22.058,0.25763,0.022168,146.82539682539684,193.71727748691097
2019,BMW I3s,42.2,3375,29,0.297,0.0178,145.5,177.7
2019,CHEVROLET BOLT,60,3875,28.4,0.2018,0.01948,157.4,182.2
2019,HYUNDAI IONIQ,28,3500,21.17,0.19016,0.015762,201.08695652173915,246.66666666666666
2019,HYUNDAI Kona Electric,64,4000,24.859,-0.20036,0.023656,170.50691244239633,215.11627906976744
2019,Jaguar I-PACE,90,5000,35.616,0.75123,0.017701,102.9,114.1
2019,Kia Niro Electric,64,4250,32.717,-0.1911,0.023073,158.79828326180257,192.70833333333334
2019,KIA Soul Electric,27,3625,22.058,0.25763,0.022168,146.82539682539684,193.71727748691097
2019,NISSAN LEAF,60,3750,26.06,0.3,0.01965,143.3,180.5
2019,VOLKSWAGEN e-Golf,35.8,3750,32.8,0.38487,0.015598,154.4,174.4