Year,Month,pure electric,plug in,total
2019,July,2271,4035,157198
2019,June,2461,4729,223421
2019,May,1990,4352,183724
2019,April,1517,3439,161064
2019,March,3917,8858,458054
2019,February,731,2104,81969
2019,January,1334,3602,161013
2018,December,1534,5498,144089
2018,November,1414,4855,158639
2018,October,1256,4704,153599
2018,September,2290,6618,338834
2018,August,659,3568,94094
2018,July,881,3713,161997
2018,June,1519,5573,234945
2018,May,1099,4439,192649
2018,April,929,3645,167911
2018,March,2904,9293,474069
2018,February,355,1415,80805
2018,January,635,3044,163615
2017,December,964,4146,152473
2017,November,834,3814,163541
2017,October,672,3232,158192
2017,September,2097,7552,426170
2017,August,476,1623,76433
2017,July,860,3277,161997
2017,June,1466,4156,243454
2017,May,926,2999,186265
2017,April,668,2501,152076
2017,March,3141,7667,562337
2017,February,483,1293,83115
2017,January,1017,2529,174564
2016,December,1158,2813,178022
2016,November,605,2429,184101
2016,October,394,2191,180168
2016,September,2128,6075,469696
2016,August,293,1090,81640
2016,July,419,2177,178523
2016,June,1066,3131,255766
2016,May,517,2253,203585
2016,April,580,2729,189505
2016,March,2341,7262,518707
2016,February,239,1203,83395
2016,January,584,2192,169678
2015,December,1517,3041,180077
2015,November,780,2233,178876
2015,October,686,1773,177664
2015,September,1549,3779,462517
2015,August,301,879,79060
2015,July,420,1589,178420
2015,June,909,2590,257817
2015,May,624,1947,198706
2015,April,515,1491,185778
2015,March,1905,6114,492774
2015,February,216,728,76958
2015,January,512,1715,164856
2014,December,1088,2149,166198
2014,November,646,1875,172327
2014,October,463,1708,179714
2014,September,1208,3090,425861
2014,August,234,515,72163
2014,July,500,1099,172907
2014,June,661,1258,228291
2014,May,350,615,194032
2014,April,318,459,176820
2014,March,823,1211,464824
2014,February,81,122,68736
2014,January,325,431,154562
2013,December,191,297,152918
2013,November,288,409,159581
2013,October,219,290,157314
2013,September,430,587,403136
2013,August,71,118,65937
2013,July,264,325,162228
2013,June,191,276,214957
2013,May,412,472,180111
2013,April,110,188,163357
2013,March,272,468,394806
2013,February,26,43,66749
2013,January,38,431,154562
2012,December,117,194,123557
2012,November,195,273,149191
2012,October,201,279,151252
2012,September,108,322,359612
2012,August,30,80,59433
2012,July,52,253,143844
2012,June,88,170,189514
2012,May,41,181,162288
2012,April,92,128,142322
2012,March,278,291,372835
2012,February,17,21,61868
2012,January,43,48,128853
2011,December,27,29,119188
2011,November,34,34,134027
2011,October,84,83,134944
2011,September,100,98,332476
2011,August,34,30,59346
2011,July,181,180,131634
2011,June,113,109,183125
2011,May,59,55,150431
2011,April,179,174,137746
2011,March,218,216,366101
2011,February,20,20,63424
2011,January,33,28,128811
2010,December,10,8,123817
2010,November,12,12,139875
2010,October,13,9,131495
2010,September,24,16,335246